"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "XML", "Properties", "comment", "blank", "total"
"e:\Workspace\ItBuild\studio-frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 1, 20
"e:\Workspace\ItBuild\studio-frontend\.eslintrc.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\Workspace\ItBuild\studio-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"e:\Workspace\ItBuild\studio-frontend\core\Class.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 124
"e:\Workspace\ItBuild\studio-frontend\core\ClassRepository.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"e:\Workspace\ItBuild\studio-frontend\core\DropDowns.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"e:\Workspace\ItBuild\studio-frontend\core\DropDownsRepository.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Workspace\ItBuild\studio-frontend\core\Financial.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"e:\Workspace\ItBuild\studio-frontend\core\FinancialRepository.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Workspace\ItBuild\studio-frontend\core\FrequencyStudents.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"e:\Workspace\ItBuild\studio-frontend\core\FrequencyStudentsRepository.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Workspace\ItBuild\studio-frontend\core\Persons.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 175
"e:\Workspace\ItBuild\studio-frontend\core\PersonsRepository.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"e:\Workspace\ItBuild\studio-frontend\core\Place.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"e:\Workspace\ItBuild\studio-frontend\core\PlaceRepository.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Workspace\ItBuild\studio-frontend\core\Product.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 103
"e:\Workspace\ItBuild\studio-frontend\core\ProductRepository.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"e:\Workspace\ItBuild\studio-frontend\core\ProductType.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"e:\Workspace\ItBuild\studio-frontend\core\ProductTypeRepository.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Workspace\ItBuild\studio-frontend\core\TotalSales.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"e:\Workspace\ItBuild\studio-frontend\core\TotalSalesRepository.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
