Date : 2025-01-12 10:23:34
Directory : e:\Workspace\ItBuild\studio-frontend
Total : 104 files,  18216 codes, 302 comments, 1006 blanks, all 19524 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      9,970 |          0 |          3 |      9,973 |
| TypeScript JSX     |         43 |      6,321 |        276 |        709 |      7,306 |
| TypeScript         |         29 |        978 |          0 |        111 |      1,089 |
| CSS                |         17 |        871 |         11 |        159 |      1,041 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |         11 |          0 |          3 |         14 |
| JavaScript         |          2 |         10 |          2 |          5 |         17 |
| Properties         |          1 |          6 |         13 |          1 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        104 |     18,216 |        302 |      1,006 |     19,524 |
| . (Files)                                                                        |          9 |      9,934 |         15 |         26 |      9,975 |
| core                                                                             |         18 |        870 |          0 |         99 |        969 |
| public                                                                           |          5 |         11 |          0 |          3 |         14 |
| public (Files)                                                                   |          2 |          2 |          0 |          0 |          2 |
| public\images                                                                    |          3 |          9 |          0 |          3 |         12 |
| src                                                                              |         72 |      7,401 |        287 |        878 |      8,566 |
| src\app                                                                          |         19 |      5,497 |        257 |        612 |      6,366 |
| src\app (Files)                                                                  |          3 |        449 |         16 |         82 |        547 |
| src\app\[...notFound]                                                            |          1 |         19 |          0 |          2 |         21 |
| src\app\administrativo                                                           |          1 |        458 |          3 |         52 |        513 |
| src\app\alunos                                                                   |          3 |      1,312 |         25 |        129 |      1,466 |
| src\app\alunos (Files)                                                           |          1 |        237 |          3 |         35 |        275 |
| src\app\alunos\cadastrar                                                         |          1 |        521 |         18 |         47 |        586 |
| src\app\alunos\editar                                                            |          1 |        554 |          4 |         47 |        605 |
| src\app\alunos\editar\[slug]                                                     |          1 |        554 |          4 |         47 |        605 |
| src\app\aulas                                                                    |          3 |        854 |        124 |         95 |      1,073 |
| src\app\aulas (Files)                                                            |          1 |        183 |          0 |         20 |        203 |
| src\app\aulas\cadastrar                                                          |          1 |        314 |         33 |         38 |        385 |
| src\app\aulas\editar                                                             |          1 |        357 |         91 |         37 |        485 |
| src\app\aulas\editar\[slug]                                                      |          1 |        357 |         91 |         37 |        485 |
| src\app\dashboard                                                                |          1 |        342 |          6 |         36 |        384 |
| src\app\financeiro                                                               |          1 |        165 |          2 |         19 |        186 |
| src\app\funcionarios                                                             |          3 |      1,256 |         63 |        130 |      1,449 |
| src\app\funcionarios (Files)                                                     |          1 |        233 |          2 |         34 |        269 |
| src\app\funcionarios\cadastrar                                                   |          1 |        511 |         28 |         50 |        589 |
| src\app\funcionarios\editar                                                      |          1 |        512 |         33 |         46 |        591 |
| src\app\funcionarios\editar\[slug]                                               |          1 |        512 |         33 |         46 |        591 |
| src\app\produtos                                                                 |          1 |        408 |         12 |         44 |        464 |
| src\app\recuperar-senha                                                          |          1 |         71 |          2 |          5 |         78 |
| src\app\resetar-senha                                                            |          1 |        163 |          4 |         18 |        185 |
| src\app\resetar-senha\[slug]                                                     |          1 |        163 |          4 |         18 |        185 |
| src\components                                                                   |         19 |        954 |         22 |        129 |      1,105 |
| src\components\BikeView                                                          |          1 |         66 |          2 |         10 |         78 |
| src\components\Card                                                              |          1 |         47 |          0 |          5 |         52 |
| src\components\Header                                                            |          1 |         31 |          0 |          3 |         34 |
| src\components\MenuSideBar                                                       |          2 |         90 |         15 |         15 |        120 |
| src\components\Modal                                                             |          1 |         80 |          0 |          2 |         82 |
| src\components\Table                                                             |          1 |         85 |          0 |          2 |         87 |
| src\components\auth                                                              |          3 |        200 |          4 |         27 |        231 |
| src\components\date                                                              |          2 |         79 |          0 |         15 |         94 |
